Country Name,Country Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Colombia,COL,1012000,944000,780000,825000,872000,1181000,1214000,1500000,2006000,2052000,1504000,1448000,1322000,1274000,1106000,1129000,1025000,1049000,1129000,1098000,1011000,974000,905000,857000,830000,869000,887000,911000,996000,1504000,1434000
Comoros,COM,511000,499000,499000,500000,491000,490000,483000,481000,477000,468000,469000,465000,461000,457000,492000,528000,564000,598000,634000,669000,705000,741000,776000,814000,814000,810000,809000,808000,808000,922000,945000
Cabo Verde,CPV,1127000,1121000,1119000,1112000,1112000,1111000,1108000,1105000,1103000,1098000,1101000,1096000,1093000,1087000,1085000,1080000,1073000,1073000,1073000,1067000,1088000,1112000,1135000,1157000,1180000,1201000,1224000,1217000,1222000,1531000,1542000
Costa Rica,CRI,537000,393000,395000,405000,518000,616000,568000,533000,590000,508000,592000,633000,656000,639000,657000,574000,449000,478000,771000,717000,1014000,978000,877000,906000,900000,860000,814000,963000,1149000,1741000,1795000
Caribbean small states,CSS,1605000,1645000,1662000,1578000,1536000,1501000,1485000,1414000,1393000,1338000,1279000,1254000,1163000,1114000,1054000,940000,888000,907000,1011000,1031000,1049000,1112000,1166000,1085000,1055000,1061000,976000,871000,802000,983000,976000
Cuba,CUB,790000,806000,828000,814000,827000,761000,710000,623000,626000,545000,408000,331000,233000,185000,195000,191000,179000,158000,167000,250000,318000,346000,329000,270000,240000,200000,170000,170000,174000,262000,276000
Cyprus,CYP,300000,209000,270000,270000,260000,310000,340000,330000,570000,497000,398000,330000,414000,433000,530000,454000,392000,365000,536000,626000,786000,1180000,1587000,1609000,1491000,1295000,1105000,837000,707000,759000,613000
Czech Republic,CZE,227000,260000,432000,430000,402000,389000,427000,590000,849000,876000,799000,702000,754000,821000,793000,715000,532000,439000,666000,728000,671000,698000,695000,611000,505000,395000,289000,224000,201000,255000,289000
Germany,DEU,532000,632000,768000,873000,816000,882000,986000,979000,886000,792000,777000,848000,978000,1073000,1117000,1025000,866000,752000,774000,697000,582000,538000,523000,498000,462000,412000,375000,338000,314000,381000,354000
Djibouti,DJI,2936000,2920000,2919000,2902000,2894000,2884000,2870000,2858000,2843000,2834000,2822000,2808000,2796000,2785000,2772000,2757000,2744000,2731000,2722000,2706000,2689000,2678000,2664000,2648000,2633000,2619000,2606000,2619000,2636000,2839000,2839000
Denmark,DNK,910000,903000,1072000,804000,699000,684000,540000,504000,514000,448000,416000,427000,540000,520000,483000,390000,380000,368000,641000,775000,777000,780000,738000,693000,628000,599000,583000,513000,502000,564000,480000
Dominican Republic,DOM,635000,620000,627000,636000,633000,634000,631000,636000,639000,643000,726000,678000,694000,630000,659000,565000,516000,476000,547000,521000,609000,672000,735000,672000,761000,728000,583000,586000,636000,613000,850000
Algeria,DZA,2060000,2438000,2623000,2774000,3184000,2853000,2543000,2666000,2830000,2977000,2730000,2590000,2372000,1765000,1527000,1227000,1379000,1133000,1016000,996000,996000,1097000,982000,1021000,1121000,1020000,1033000,1042000,1051000,1255000,1270000
East Asia & Pacific (excluding high income),EAP,240000,236000,261000,291000,299000,310000,320000,337000,345000,341000,383000,415000,440000,439000,446000,436000,434000,442000,439000,415000,410000,403000,404000,403000,410000,402000,391000,379000,390000,439000,429000
Early-demographic dividend,EAR,536000,549000,564000,595000,627000,616000,598000,610000,630000,624000,633000,655000,650000,635000,628000,601000,592000,569000,586000,569000,559000,556000,564000,558000,573000,575000,565000,564000,553000,712000,649000
East Asia & Pacific,EAS,245000,243000,269000,296000,303000,315000,324000,353000,363000,354000,394000,424000,446000,441000,445000,433000,428000,436000,444000,421000,412000,404000,403000,401000,407000,398000,386000,373000,382000,432000,420000
Europe & Central Asia (excluding high income),ECA,499000,540000,616000,778000,912000,1006000,1110000,1223000,1237000,1097000,1028000,981000,962000,929000,866000,814000,734000,738000,913000,851000,783000,722000,723000,747000,759000,760000,738000,708000,726000,794000,776000
Europe & Central Asia,ECS,691000,750000,867000,967000,996000,1032000,1055000,1074000,1064000,982000,911000,914000,914000,912000,873000,809000,717000,710000,893000,902000,876000,896000,920000,896000,856000,808000,748000,690000,667000,718000,712000
Ecuador,ECU,437000,453000,456000,444000,459000,465000,451000,461000,518000,480000,425000,490000,566000,500000,378000,355000,314000,392000,461000,409000,346000,323000,308000,348000,362000,460000,384000,353000,381000,611000,643000
"Egypt, Arab Rep.",EGY,938000,892000,1092000,1093000,1104000,900000,837000,803000,795000,898000,926000,1001000,1101000,1032000,1120000,1049000,880000,852000,909000,876000,1185000,1260000,1315000,1310000,1305000,1241000,1174000,982000,784000,917000,933000
Euro area,EMU,825000,889000,1068000,1176000,1144000,1167000,1167000,1119000,1044000,943000,835000,861000,895000,924000,902000,831000,743000,748000,954000,1007000,1011000,1129000,1193000,1160000,1084000,1001000,905000,817000,753000,783000,776000
Eritrea,ERI,532000,554000,573000,590000,604000,607000,608000,601000,595000,588000,577000,570000,558000,537000,526000,526000,525000,517000,524000,549000,552000,553000,558000,567000,583000,590000,594000,595000,599000,786000,805000
Spain,ESP,1593000,1770000,2216000,2421000,2267000,2214000,2070000,1867000,1548000,1379000,1035000,1115000,1128000,1109000,915000,845000,823000,1125000,1786000,1986000,2139000,2479000,2609000,2444000,2206000,1963000,1722000,1525000,1410000,1553000,1473000
Estonia,EST,147000,368000,654000,756000,966000,992000,1037000,951000,1157000,1336000,1313000,1003000,1129000,1025000,803000,591000,459000,545000,1355000,1671000,1233000,1002000,863000,735000,619000,676000,576000,537000,445000,680000,633000
Ethiopia,ETH,308000,310000,305000,310000,321000,331000,347000,362000,371000,351000,330000,313000,294000,269000,250000,247000,243000,241000,238000,234000,231000,229000,225000,226000,227000,229000,230000,232000,233000,324000,369000
European Union,EUU,850000,923000,1082000,1150000,1106000,1110000,1087000,1044000,1018000,983000,919000,954000,963000,987000,956000,862000,745000,720000,913000,980000,984000,1081000,1133000,1085000,1003000,912000,814000,727000,669000,705000,704000
Fragile and conflict affected situations,FCS,458000,453000,452000,464000,520000,553000,568000,595000,616000,614000,608000,611000,599000,584000,552000,540000,533000,533000,539000,545000,547000,549000,552000,581000,578000,630000,664000,655000,652000,740000,764000
Finland,FIN,650000,1160000,1620000,1643000,1700000,1557000,1497000,1321000,1169000,1113000,1029000,1042000,1047000,1036000,838000,772000,685000,637000,825000,839000,778000,769000,819000,866000,938000,882000,864000,736000,669000,776000,753000
Fiji,FJI,406000,388000,396000,390000,394000,390000,403000,395000,379000,399000,391000,387000,391000,381000,389000,396000,411000,416000,431000,431000,441000,442000,433000,429000,430000,432000,428000,433000,445000,472000,524000
France,FRA,913000,1021000,1132000,1259000,1184000,1237000,1257000,1207000,1198000,1022000,861000,870000,831000,891000,849000,845000,766000,706000,874000,887000,881000,940000,992000,1029000,1035000,1005000,941000,902000,841000,801000,806000
Gabon,GAB,1778000,1787000,1778000,1772000,1763000,1758000,1748000,1743000,1749000,1734000,1723000,1717000,1707000,1701000,1691000,1767000,1828000,1909000,1976000,2039000,2043000,2049000,2052000,2057000,2061000,2067000,2072000,2075000,2074000,2197000,2226000
United Kingdom,GBR,855000,978000,1035000,965000,869000,819000,707000,620000,604000,556000,470000,504000,481000,459000,475000,535000,526000,562000,754000,779000,804000,788000,752000,611000,530000,481000,433000,400000,374000,447000,453000
Georgia,GEO,270000,540000,540000,840000,760000,1150000,1150000,1453000,1380000,1082000,1116000,1259000,1151000,1262000,1381000,1357000,1328000,1787000,2071000,2020000,1963000,1965000,1942000,1744000,1651000,1660000,1394000,1267000,1157000,1850000,1066000
Ghana,GHA,349000,470000,527000,586000,644000,702000,761000,820000,1010000,1046000,950000,853000,756000,659000,562000,464000,484000,499000,522000,538000,560000,591000,620000,652000,681000,553000,422000,428000,432000,465000,470000
Guinea,GIN,445000,446000,445000,447000,448000,449000,449000,452000,453000,455000,455000,455000,462000,463000,465000,470000,467000,472000,481000,477000,479000,482000,487000,490000,492000,488000,491000,498000,502000,610000,634000
"Gambia, The",GMB,883000,886000,890000,895000,897000,899000,900000,904000,905000,908000,911000,922000,916000,919000,929000,930000,930000,930000,932000,936000,951000,942000,945000,950000,947000,950000,948000,948000,950000,1108000,1121000
Guinea-Bissau,GNB,619000,630000,635000,636000,634000,639000,641000,635000,632000,625000,630000,638000,637000,625000,621000,614000,606000,589000,590000,608000,598000,587000,581000,580000,587000,595000,599000,598000,604000,674000,676000
Equatorial Guinea,GNQ,813000,827000,837000,843000,847000,853000,856000,850000,849000,845000,857000,871000,877000,871000,875000,871000,865000,850000,855000,882000,873000,861000,851000,848000,854000,863000,865000,862000,868000,990000,924000
Greece,GRC,766000,784000,861000,886000,906000,966000,958000,1084000,1185000,1125000,1046000,997000,941000,1031000,999000,901000,840000,776000,962000,1271000,1786000,2444000,2747000,2649000,2490000,2354000,2149000,1929000,1731000,1630000,1480000
Guatemala,GTM,259000,257000,261000,262000,261000,268000,265000,265000,270000,272000,278000,275000,281000,297000,305000,306000,311000,331000,351000,350000,309000,276000,302000,272000,251000,258000,246000,228000,219000,355000,357000
Guam,GUM,351000,384000,553000,760000,790000,828000,967000,774000,1395000,1532000,1321000,1139000,975000,770000,700000,740000,830000,872000,930000,820000,1330000,1220000,1150000,760000,690000,540000,543000,556000,551000,680000,698000
Guyana,GUY,1193000,1190000,1188000,1186000,1188000,1184000,1184000,1189000,1184000,1186000,1181000,1181000,1155000,1127000,1102000,1070000,1096000,1127000,1153000,1180000,1206000,1234000,1263000,1292000,1321000,1346000,1375000,1402000,1399000,1643000,1642000
High income,HIC,675000,732000,785000,785000,745000,742000,713000,705000,692000,653000,650000,702000,713000,697000,667000,614000,561000,586000,794000,819000,786000,790000,781000,721000,663000,615000,559000,507000,477000,649000,567000
"Hong Kong SAR, China",HKG,180000,196000,196000,190000,322000,283000,222000,458000,625000,492000,509000,728000,786000,674000,558000,477000,401000,356000,526000,433000,342000,329000,340000,330000,331000,339000,313000,282000,293000,583000,532000
Honduras,HND,458000,306000,312000,325000,324000,437000,332000,402000,385000,384000,400000,402000,530000,599000,491000,357000,321000,316000,329000,412000,447000,375000,565000,708000,615000,673000,553000,565000,570000,837000,851000
